positionName,positionType,workLocation,salary,experienceRequirements,educationRequirements
服务器开发工程师（base武汉）,golang,天河区,15000-25000,3-5年,本科
高级go开发工程师,golang,番禺区,20000-25000,3-5年,本科
后端工程师,golang,广州,30000-50000,3-5年,本科
服务端开发工程师,golang,天河区,17000-30000,3-5年,本科
Golang,golang,广州,40000-65000,3-5年,本科
高级后端开发工程师,golang,天河区,20000-30000,3-5年,本科
游戏Go服务器开发工程师,golang,广州,30000-60000,3-5年,本科
系统开发工程师【南沙】,golang,南沙区,15000-16000,3-5年,本科
golang开发工程师,golang,广州,15000-20000,3-5年,本科
Golang,golang,荔湾区,20000-30000,3-5年,大专
服务器开发,golang,广州,30000-55000,3-5年,本科
后端开发高级工程师（IoT）,golang,天河区,20000-40000,3-5年,本科
go开发工程师,golang,天河区,12000-17000,3-5年,本科
高级后台开发,golang,天河区,30000-60000,3-5年,本科
后台开发,golang,南沙区,20000-30000,3-5年,大专
资深游戏研发工程师（在研超英卡牌RPG）,golang,广州,25000-35000,3-5年,本科
Golang开发工程师（广州）,golang,海珠区,15000-25000,3-5年,本科
go开发工程师,golang,广州,30000-40000,3-5年,本科
后台开发工程师(golang游戏),golang,天河区,28000-40000,3-5年,本科
后端开发工程师-LBA People Talent,golang,海珠区,20000-40000,3-5年,本科
服务器后端主程（常驻长沙）,golang,天河区,20000-40000,3-5年,本科
golang工程师,golang,越秀区,12000-24000,3-5年,本科
PaaS后端开发工程师,golang,增城区,25000-30000,3-5年,本科
高级go后台工程师,golang,天河区,15000-30000,3-5年,本科
后端开发工程师,golang,广州,40000-50000,3-5年,本科
golang后端开发工程师,golang,天河区,15000-30000,3-5年,本科
Golang开发工程师,golang,天河区,12000-24000,经验不限,本科
Golang开发工程师,golang,越秀区,12000-15000,1-3年,本科
服务端开发工程师,golang,天河区,15000-25000,1-3年,大专
go开发工程师,golang,番禺区,15000-18000,3-5年,本科
后端开发工程师（综合业务）,golang,天河区,20000-40000,3-5年,本科
资深golang开发工程师（直播项目）,golang,天河区,18000-35000,3-5年,本科
后端开发工程师,golang,广州,30000-60000,3-5年,本科
增长营销平台服务端,golang,海珠区,35000-55000,3-5年,本科
golang开发工程师[急招](社交方向),golang,广州,15000-30000,3-5年,本科
服务器开发,golang,天河区,15000-25000,3-5年,大专
游戏服务器开发（base武汉）,golang,天河区,15000-25000,3-5年,本科
后端/资深后端研发工程师-商品供给方向,golang,海珠区,26000-45000,3-5年,本科
后端开发工程师,golang,天河区,13000-16000,3-5年,大专
高级Go后台开发工程师 (MJ003413),golang,广州,15000-25000,3-5年,本科
高级go后台开发工程师,golang,天河区,15000-30000,3-5年,本科
高级golang开发工程师,golang,天河区,13000-22000,3-5年,本科
集成开发工程师（CI/CD，央企）,golang,广州,20000-30000,3-5年,本科
服务器后端主程（常驻长沙）,golang,天河区,20000-40000,3-5年,本科
Golang负责人,golang,广州,25000-30000,3-5年,本科
高级golang开发工程师,golang,天河区,18000-30000,3-5年,本科
golang开发工程师,golang,天河区,15000-17000,3-5年,本科
大模型应用开发工程师（AI社交）,golang,天河区,15000-25000,3-5年,本科
高级后端开发工程师,golang,海珠区,20000-30000,3-5年,本科
go开发工程师,golang,白云区,14000-15000,3-5年,大专
容器云开发工程师,golang,海珠区,15000-30000,3-5年,本科
中级 PHP/Go后端开发工程师,golang,越秀区,13000-15000,3-5年,本科
资深golang开发工程师,golang,广州,30000-50000,3-5年,本科
高级golang开发工程师（主程）,golang,天河区,25000-40000,3-5年,本科
大数据平台研发工程师,golang,天河区,18000-30000,3-5年,本科
后端开发工程师（Golang）,golang,天河区,20000-25000,3-5年,本科
高级go开发工程师,golang,天河区,15000-20000,3-5年,大专
资深golang开发工程师,golang,广州,25000-50000,3-5年,本科
后端开发,golang,天河区,15000-16000,3-5年,本科
服务器后端开发工程师,golang,黄埔区,15000-25000,3-5年,本科
go研发架构师,golang,广州,25000-30000,3-5年,本科
高级游戏服务器开发工程师,golang,天河区,23000-25000,3-5年,大专
后端开发（go/python）-大厂，16薪,golang,广州,18000-30000,3-5年,本科
golang开发工程师,golang,天河区,10000-15000,3-5年,本科
golang游戏开发,golang,天河区,8000-13000,3-5年,本科
游戏服务器开发,golang,天河区,15000-25000,3-5年,大专
资深后端开发工程师,golang,天河区,30000-35000,3-5年,本科
golang开发工程师,golang,天河区,10000-15000,3-5年,本科
资深wallet开发（go）,golang,广州,30000-50000,3-5年,本科
中高级游戏服务端开发,golang,天河区,15000-25000,3-5年,本科
GO开发【佛山五百强集团】,golang,天河区,14000-16000,3-5年,本科
平台后端开发(数据集成方向),golang,广州,25000-35000,3-5年,本科
服务端研发工程师 - 抖音小游戏,golang,海珠区,50000-80000,3-5年,本科
广告系统研发工程师,golang,天河区,15000-17000,3-5年,本科
高级后端开发工程师,golang,海珠区,20000-40000,3-5年,本科
高级服务端开发工程师（go&java）,golang,广州,15000-30000,3-5年,本科
golang开发工程师,golang,天河区,10000-15000,3-5年,本科
golang开发工程师,golang,广州,8000-12000,3-5年,大专
资深后端工程师,golang,海珠区,15000-25000,3-5年,本科
golang高级工程师,golang,南沙区,6000-11000,3-5年,大专
golang服务器开发,golang,天河区,13000-18000,3-5年,本科
Golang工程师,golang,白云区,15000-25000,3-5年,本科
服务端go语言高级开发工程师,golang,越秀区,11000-12000,3-5年,本科
资深golang开发工程师,golang,天河区,25000-40000,3-5年,本科
